window_start,window_end,action,is_drift,final_error_rate,processing_time_s
14700,14800,Rebuilt,True,0.64,62.90235781669617
14800,14900,Updated,False,0.5700000000000001,0.009507894515991211
14900,15000,Updated,False,0.54,0.010404825210571289
15000,15100,Rebuilt,True,0.77,66.66223526000977
15100,15200,Updated,False,0.65,0.008279085159301758
15200,15300,Rebuilt,True,0.99,61.26907444000244
15300,15400,Updated,False,0.77,0.008000612258911133
15400,15500,Updated,False,0.56,0.00899958610534668
15500,15600,Updated,False,0.64,0.01001119613647461
15600,15700,Updated,False,0.6699999999999999,0.009996414184570312
15700,15800,Updated,False,0.6,0.010000228881835938
15800,15900,Updated,False,0.6699999999999999,0.007999181747436523
15900,16000,Updated,False,0.75,0.012993097305297852
16000,16100,Updated,False,0.65,0.01803874969482422
16100,16200,Updated,False,0.6599999999999999,0.008061408996582031
16200,16300,Rebuilt,True,0.78,16.406197786331177
16300,16400,Updated,False,0.84,0.007999658584594727
16400,16500,Updated,False,0.5700000000000001,0.010603904724121094
16500,16600,Rebuilt,True,0.69,19.560089111328125
16600,16700,Updated,False,0.47,0.007992267608642578
16700,16800,Updated,False,0.4,0.008992195129394531
16800,16900,Rebuilt,True,0.99,20.239081621170044
16900,17000,Updated,False,0.97,0.008008003234863281
17000,17100,Updated,False,0.98,0.010992050170898438
17100,17200,Updated,False,1.0,0.006007671356201172
17200,17300,Updated,False,0.75,0.009048700332641602
17300,17400,Updated,False,0.8,0.007999658584594727
17400,17500,Rebuilt,True,0.94,51.5778706073761
17500,17600,Updated,False,0.65,0.0060002803802490234
17600,17700,Rebuilt,True,0.8,45.272639751434326
17700,17800,Updated,False,0.52,0.006088972091674805
17800,17900,Rebuilt,True,0.71,42.339752197265625
17900,18000,Updated,False,0.62,0.00606846809387207
18000,18100,Updated,False,0.5700000000000001,0.008623361587524414
18100,18200,Updated,False,0.61,0.00599980354309082
18200,18300,Updated,False,0.51,0.007843971252441406
18300,18400,Rebuilt,True,0.7,40.92390012741089
18400,18500,Updated,False,0.49,0.005390167236328125
18500,18600,Rebuilt,True,0.64,42.731005907058716
18600,18700,Updated,False,0.5900000000000001,0.006273984909057617
18700,18800,Rebuilt,True,0.9,46.11943006515503
